id,destination_id,node_name,node_type,ref_id,lng,lat,floor_no
,10,OSMintersection122,intersection,,116.688754,39.856473,
,10,OSMintersection123,intersection,,116.686690,39.856433,
,10,OSMturn124,turn,,116.684856,39.856418,
,10,OSMintersection125,intersection,,116.687454,39.856410,
,10,OSMintersection126,intersection,,116.684929,39.856396,
,10,OSMintersection127,intersection,,116.686506,39.856391,
,10,OSMintersection128,intersection,,116.687325,39.856388,
,10,OSMturn129,turn,,116.686545,39.856347,
,10,OSMturn130,turn,,116.682853,39.856344,
,10,OSMturn131,turn,,116.683471,39.856326,
,10,OSMintersection132,intersection,,116.686864,39.856291,
,10,OSMintersection133,intersection,,116.684904,39.856275,
,10,OSMintersection134,intersection,,116.687159,39.856270,
,10,OSMintersection135,intersection,,116.680524,39.856265,
,10,OSMturn136,turn,,116.682566,39.856256,
,10,OSMintersection137,intersection,,116.685058,39.856244,
,10,OSMturn138,turn,,116.686983,39.856243,
,10,OSMintersection139,intersection,,116.686893,39.856237,
,10,OSMintersection140,intersection,,116.686975,39.856231,
,10,OSMintersection141,intersection,,116.680559,39.856197,
,10,OSMturn142,turn,,116.686841,39.856192,
,10,OSMintersection143,intersection,,116.687442,39.856191,
,10,OSMintersection144,intersection,,116.687475,39.856186,
,10,OSMturn145,turn,,116.681440,39.856158,
,10,OSMturn146,turn,,116.686388,39.856152,
,10,OSMturn147,turn,,116.684881,39.856142,
,10,OSMturn148,turn,,116.682465,39.856130,
,10,OSMturn149,turn,,116.688675,39.856125,
,10,OSMturn150,turn,,116.686070,39.856118,
,10,OSMintersection151,intersection,,116.687900,39.856117,
,10,OSMintersection152,intersection,,116.683194,39.856112,
,10,OSMintersection153,intersection,,116.687199,39.856107,
,10,OSMintersection154,intersection,,116.686977,39.856104,
,10,OSMintersection155,intersection,,116.687048,39.856096,
,10,OSMintersection156,intersection,,116.686808,39.856090,
,10,OSMintersection157,intersection,,116.687069,39.856052,
,10,OSMturn158,turn,,116.682550,39.856046,
,10,OSMintersection159,intersection,,116.687266,39.856041,
,10,OSMturn160,turn,,116.686953,39.856015,
,10,OSMintersection161,intersection,,116.683831,39.856007,
,10,OSMintersection162,intersection,,116.686989,39.855998,
,10,OSMintersection163,intersection,,116.687083,39.855997,
,10,OSMturn164,turn,,116.687765,39.855995,
,10,OSMturn165,turn,,116.684870,39.855967,
,10,OSMturn166,turn,,116.682574,39.855958,
,10,OSMintersection167,intersection,,116.684026,39.855951,
,10,OSMintersection168,intersection,,116.682627,39.855915,
,10,OSMturn169,turn,,116.684952,39.855913,
,10,OSMintersection170,intersection,,116.684861,39.855907,
,10,OSMintersection171,intersection,,116.682661,39.855871,
,10,OSMintersection172,intersection,,116.679954,39.855870,
,10,OSMintersection173,intersection,,116.684792,39.855852,
,10,OSMturn174,turn,,116.685017,39.855851,
,10,OSMintersection175,intersection,,116.684186,39.855794,
,10,OSMturn176,turn,,116.684781,39.855772,
,10,OSMturn177,turn,,116.681038,39.855771,
,10,OSMintersection178,intersection,,116.684971,39.855768,
,10,OSMturn179,turn,,116.683747,39.855762,
,10,OSMturn180,turn,,116.686251,39.855761,
,10,OSMturn181,turn,,116.682699,39.855756,
,10,OSMintersection182,intersection,,116.685119,39.855738,
,10,OSMintersection183,intersection,,116.681063,39.855728,
,10,OSMintersection184,intersection,,116.685089,39.855721,
,10,OSMintersection185,intersection,,116.684592,39.855688,
,10,OSMturn186,turn,,116.682738,39.855665,
,10,OSMintersection187,intersection,,116.685449,39.855664,
,10,OSMintersection188,intersection,,116.685244,39.855652,
,10,OSMintersection189,intersection,,116.685491,39.855621,
,10,OSMturn190,turn,,116.684294,39.855619,
,10,OSMintersection191,intersection,,116.685958,39.855617,
,10,OSMturn192,turn,,116.682860,39.855592,
,10,OSMintersection193,intersection,,116.684279,39.855588,
,10,OSMturn194,turn,,116.682985,39.855567,
,10,OSMturn195,turn,,116.679443,39.855560,
,10,OSMintersection196,intersection,,116.684345,39.855540,
,10,OSMintersection197,intersection,,116.688803,39.855527,
,10,OSMintersection198,intersection,,116.683076,39.855511,
,10,OSMintersection199,intersection,,116.683142,39.855502,
,10,OSMturn200,turn,,116.684535,39.855388,
,10,OSMturn201,turn,,116.684259,39.855371,
,10,OSMintersection202,intersection,,116.684241,39.855341,
,10,OSMturn203,turn,,116.684767,39.855296,
,10,OSMturn204,turn,,116.679821,39.855208,
,10,OSMintersection205,intersection,,116.681089,39.855073,
,10,OSMintersection206,intersection,,116.684184,39.855041,
,10,OSMintersection207,intersection,,116.679624,39.855001,
,10,OSMintersection208,intersection,,116.681732,39.855000,
,10,OSMturn209,turn,,116.684060,39.854987,
,10,OSMintersection210,intersection,,116.679226,39.854983,
,10,OSMturn211,turn,,116.683930,39.854934,
,10,OSMturn212,turn,,116.679439,39.854890,
,10,OSMintersection213,intersection,,116.681218,39.854866,
,10,OSMintersection214,intersection,,116.682334,39.854838,
,10,OSMturn215,turn,,116.682347,39.854793,
,10,OSMturn216,turn,,116.683570,39.854774,
,10,OSMturn217,turn,,116.679941,39.854772,
,10,OSMturn218,turn,,116.682425,39.854747,
,10,OSMturn219,turn,,116.682564,39.854731,
,10,OSMturn220,turn,,116.682794,39.854708,
,10,OSMturn221,turn,,116.685228,39.854689,
,10,OSMintersection222,intersection,,116.683001,39.854686,
,10,OSMintersection223,intersection,,116.683344,39.854683,
,10,OSMintersection224,intersection,,116.684448,39.854681,
,10,OSMturn225,turn,,116.684323,39.854627,
,10,OSMturn226,turn,,116.685269,39.854605,
,10,OSMintersection227,intersection,,116.684510,39.854587,
,10,OSMturn228,turn,,116.684192,39.854573,
,10,OSMintersection229,intersection,,116.681654,39.854565,
,10,OSMintersection230,intersection,,116.684525,39.854548,
,10,OSMintersection231,intersection,,116.681673,39.854536,
,10,OSMintersection232,intersection,,116.680228,39.854515,
,10,OSMturn233,turn,,116.679871,39.854482,
,10,OSMturn234,turn,,116.680680,39.854443,
,10,OSMturn235,turn,,116.683832,39.854427,
,10,OSMturn236,turn,,116.682864,39.854422,
,10,OSMturn237,turn,,116.682260,39.854330,
,10,OSMintersection238,intersection,,116.683584,39.854327,
,10,OSMintersection239,intersection,,116.679889,39.854284,
,10,OSMintersection240,intersection,,116.682228,39.854269,
,10,OSMintersection241,intersection,,116.684453,39.854253,
,10,OSMintersection242,intersection,,116.680608,39.854252,
,10,OSMturn243,turn,,116.680142,39.854251,
,10,OSMintersection244,intersection,,116.680704,39.854250,
,10,OSMintersection245,intersection,,116.681657,39.854242,
,10,OSMintersection246,intersection,,116.681888,39.854189,
,10,OSMturn247,turn,,116.682207,39.854188,
,10,OSMintersection248,intersection,,116.680595,39.854178,
,10,OSMturn249,turn,,116.681712,39.854176,
,10,OSMturn250,turn,,116.683679,39.854121,
,10,OSMturn251,turn,,116.683773,39.854078,
,10,OSMturn252,turn,,116.684054,39.854070,
,10,OSMturn253,turn,,116.684865,39.854070,
,10,OSMintersection254,intersection,,116.680926,39.854052,
,10,OSMturn255,turn,,116.685194,39.853992,
,10,OSMturn256,turn,,116.679427,39.853982,
,10,OSMintersection257,intersection,,116.680819,39.853981,
,10,OSMturn258,turn,,116.684931,39.853956,
,10,OSMturn259,turn,,116.683155,39.853939,
,10,OSMturn260,turn,,116.684899,39.853889,
,10,OSMintersection261,intersection,,116.681127,39.853873,
,10,OSMintersection262,intersection,,116.679190,39.853827,
,10,OSMintersection263,intersection,,116.681021,39.853803,
,10,OSMintersection264,intersection,,116.684608,39.853792,
,10,OSMintersection265,intersection,,116.684783,39.853785,
,10,OSMintersection266,intersection,,116.684902,39.853763,
,10,OSMturn267,turn,,116.681157,39.853745,
,10,OSMintersection268,intersection,,116.684888,39.853736,
,10,OSMintersection269,intersection,,116.684867,39.853692,
,10,OSMturn270,turn,,116.681307,39.853670,
,10,OSMintersection271,intersection,,116.680330,39.853661,
,10,OSMturn272,turn,,116.681444,39.853550,
,10,OSMturn273,turn,,116.680349,39.853543,
,10,OSMturn274,turn,,116.680003,39.853535,
,10,OSMturn275,turn,,116.680075,39.853534,
,10,OSMturn276,turn,,116.680459,39.853505,
,10,OSMturn277,turn,,116.680430,39.853491,
,10,OSMintersection278,intersection,,116.681500,39.853447,
,10,OSMturn279,turn,,116.679822,39.853428,
,10,OSMintersection280,intersection,,116.683171,39.853418,
,10,OSMturn281,turn,,116.680180,39.853378,
,10,OSMintersection282,intersection,,116.680352,39.853351,
,10,OSMturn283,turn,,116.684815,39.853337,
,10,OSMturn284,turn,,116.680159,39.853323,
,10,OSMturn285,turn,,116.680057,39.853269,
,10,OSMturn286,turn,,116.679886,39.853268,
,10,OSMturn287,turn,,116.681771,39.853193,
,10,OSMintersection288,intersection,,116.682500,39.853122,
,10,OSMintersection289,intersection,,116.681027,39.853077,
,10,OSMintersection290,intersection,,116.681027,39.853025,
,10,OSMintersection291,intersection,,116.683025,39.853016,
,10,OSMintersection292,intersection,,116.683826,39.853016,
,10,OSMintersection293,intersection,,116.681030,39.852970,
,10,OSMintersection294,intersection,,116.681082,39.852937,
,10,OSMintersection295,intersection,,116.681012,39.852914,
,10,OSMintersection296,intersection,,116.682471,39.852898,
,10,OSMintersection297,intersection,,116.683654,39.852858,
,10,OSMturn298,turn,,116.681094,39.852829,
,10,OSMintersection299,intersection,,116.683775,39.852814,
,10,北京环球影城园内入口,gate,,116.681038,39.855771,
,10,灯光，摄像，开拍！,place,,116.681654,39.854565,
,10,小黄人超萌海滩派对,place,,116.683344,39.854683,
,10,小黄人闹翻天,place,,116.684054,39.854070,
,10,欢乐好声音巡演,place,,116.684525,39.854548,
,10,美食广场,facility,,116.684184,39.855041,
,10,侏罗纪世界大冒险,place,,116.683685,39.856908,
,10,飞跃侏罗纪,place,,116.682465,39.856130,
